Kabupaten/Kota,Kecamatan,Latitude,Longitude,Population
Kabupaten Kepulauan Seribu,Kepulauan Seribu Selatan,-5.926341,106.633551,10101
Kabupaten Kepulauan Seribu,Kepulauan Seribu Utara,-5.47819,106.548259,14053
Kota Jakarta Barat,Cengkareng,-6.148665,106.735258,601156
Kota Jakarta Barat,Grogol Petamburan,-6.162275,106.788342,241564
Kota Jakarta Barat,Kalideres,-6.134294,106.705773,471436
Kota Jakarta Barat,Kebon Jeruk,-6.183459,106.764748,383168
Kota Jakarta Barat,Kembangan,-6.191233,106.742319,334115
Kota Jakarta Barat,Palmerah,-6.201802,106.789816,206353
Kota Jakarta Barat,Taman Sari,-6.148471,106.820788,110252
Kota Jakarta Barat,Tambora,-6.14904,106.803089,241889
Kota Jakarta Pusat,Cempaka Putih,-6.182671,106.86799,85667
Kota Jakarta Pusat,Gambir,-6.175392,106.827153,78534
Kota Jakarta Pusat,Johar Baru,-6.186835,106.857664,119994
Kota Jakarta Pusat,Kemayoran,-6.160372,106.847338,229175
Kota Jakarta Pusat,Menteng,-6.194031,106.8325872,68415
Kota Jakarta Pusat,Sawah Besar,-6.153194,106.832587,100958
Kota Jakarta Pusat,Senen,-6.193456,106.850288,97578
Kota Jakarta Pusat,Tanah Abang,-6.202362,106.811938,147788
Kota Jakarta Selatan,Cilandak,-6.284528,106.80014,203600
Kota Jakarta Selatan,Jagakarsa,-6.334917,106.823737,413300
Kota Jakarta Selatan,Kebayoran Baru,-6.243622,106.80014,144100
Kota Jakarta Selatan,Kebayoran Lama,-6.244392,106.776544,309500
Kota Jakarta Selatan,Mampang Prapatan,-6.250614,106.820788,147900
Kota Jakarta Selatan,Pancoran,-6.252301,106.847338,156400
Kota Jakarta Selatan,Pasar Minggu,-6.28961,106.839962,310600
Kota Jakarta Selatan,Pesanggrahan,-6.247428,106.761798,223900
Kota Jakarta Selatan,Setia Budi,-6.219569,106.832587,143500
Kota Jakarta Selatan,Tebet,-6.23186,106.847338,211900
Kota Jakarta Timur,Cakung,-6.182629,106.947666,537756
Kota Jakarta Timur,Cipayung,-6.327251,106.900447,282360
Kota Jakarta Timur,Ciracas,-6.323116,106.87094,300345
Kota Jakarta Timur,Duren Sawit,-6.232192,106.915202,399595
Kota Jakarta Timur,Jatinegara,-6.230702,106.882743,275903
Kota Jakarta Timur,Kramat Jati,-6.282586,106.859139,298121
Kota Jakarta Timur,Makasar,-6.2711937,106.8945456,204595
Kota Jakarta Timur,Matraman,-6.2032849,106.8620891,151827
Kota Jakarta Timur,Pasar Rebo,-6.326164,106.856188,221158
Kota Jakarta Timur,Pulo Gadung,-6.189464,106.894546,266199
Kota Jakarta Utara,Cilincing,-6.121428,106.947666,425358
Kota Jakarta Utara,Kelapa Gading,-6.160455,106.905462,158931
Kota Jakarta Utara,Koja,-6.117664,106.906349,316704
Kota Jakarta Utara,Pademangan,-6.132596,106.838487,166762
Kota Jakarta Utara,Penjaringan,-6.128631,106.803089,351117
Kota Jakarta Utara,Tanjung Priok,-6.132056,106.871485,394043
